device_id,circuit_id,split,family,generator,num_qubits,depth,size,attempts_expected,attempts_observed,success_count,failure_count,timeout_count,success_rate,transpile_success_n,transpile_median_s,transpile_mean_s,transpile_p95_s,transpile_max_s,eligible_configurations,best_config_id,best_median_score
quantinuum_h2_56,ae_indep_qiskit_2,train,ae,qiskit,2,6,9,36,36,36,0,0,1.0,36,0.06437836650002282,0.0634392999999515,0.10854797324986976,0.12534999299987248,12,o2_default_default,0.995297709
quantinuum_h2_56,graphstate_indep_qiskit_14,train,graphstate,qiskit,14,8,42,36,36,21,0,15,0.5833333333333334,21,0.02785143799974321,2.994624474809392,20.894801256999926,21.06590007199975,7,o2_default_default,0.9572300242
quantinuum_h2_56,qaoa_indep_tket_7,train,qaoa,tket,7,10,42,36,36,21,0,15,0.5833333333333334,21,0.03940432299987151,1.7220289884285844,11.9565844560002,11.97307173399986,7,o2_default_default,0.9681544378
quantinuum_h2_56,random_indep_qiskit_30,train,random,qiskit,30,312,2080,36,36,21,0,15,0.5833333333333334,21,0.28921493899997586,22.1191553161428,151.59008877700035,155.9585873369997,7,o2_dense_sabre,0.1362227459
quantinuum_h2_56,vqe_indep_tket_16,train,vqe,tket,16,21,94,36,36,21,0,15,0.5833333333333334,21,0.03274097699977574,2.5772629224285906,17.46024423199924,18.668850222999936,7,o2_default_default,0.9294503738
quantinuum_h2_56,pricingcall_indep_qiskit_5,validation,pricingcall,qiskit,5,36,47,36,36,21,0,15,0.5833333333333334,21,0.05307052100033616,1.7821457940951968,12.169843296999716,12.219936272999803,7,o2_default_default,0.9428277105
quantinuum_h2_56,qft_indep_tket_40,validation,qft,tket,40,81,880,36,36,21,0,15,0.5833333333333334,21,0.3601543249997121,21.044698304238107,145.34954179399938,146.24215591200118,7,o2_dense_sabre,0.4553959196
quantinuum_h2_56,routing_indep_qiskit_12,test,routing,qiskit,12,20,93,36,36,21,0,15,0.5833333333333334,21,0.03819967199979146,2.5183577850952394,17.493850013000156,17.541962621000494,7,o2_default_default,0.930623264
