device_id,device_num_qubits,workers,timeout_seconds,observed_workers,observed_timeout_seconds,execution_policy_source,mixed_execution_policies,compatible_circuits,incompatible_circuits,attempts_planned,attempts_observed,success_count,failure_count,timeout_count,success_rate,transpile_median_s,transpile_mean_s,transpile_p95_s,transpile_max_s,eligible_aggregates,ineligible_aggregates,common_circuits,common_attempts_observed,common_success_count,common_failure_count,common_timeout_count,common_success_rate,common_transpile_median_s,common_transpile_mean_s,common_transpile_p95_s,common_transpile_max_s
ibm_falcon_127,127,6,100,6,100,run_provenance,False,510,0,18360,18360,16902,0,1458,0.9205882352941176,0.019379063500309712,1.9476970695712226,12.585052987800145,98.94776483700116,5587,533,410,14760,13860,0,900,0.9390243902439024,0.0175778894990799,2.1384567815921223,14.925824046451412,98.94776483700116
ibm_falcon_27,27,6,100,6,100,run_provenance,False,410,100,14760,14760,14278,0,482,0.9673441734417344,0.012932013989484403,1.3050080925286962,5.388955881255969,96.33362764700723,4705,215,410,14760,14278,0,482,0.9673441734417344,0.012932013989484403,1.3050080925286962,5.388955881255969,96.33362764700723
ibm_heron_133,133,6,100,6,100,run_provenance,False,510,0,18360,18360,17108,0,1252,0.9318082788671024,0.02001540949709124,1.8863980709454073,12.29012177860083,99.83472121199975,5667,453,410,14760,13952,0,808,0.9452574525745258,0.018196763999981158,1.989829711229426,14.936601416149685,99.83472121199975
ibm_heron_156,156,6,100,6,100,run_provenance,False,510,0,18360,18360,17053,0,1307,0.9288126361655773,0.02064784300455358,2.1463359938279787,12.986173276204493,103.35628999999608,5641,479,410,14760,13905,0,855,0.9420731707317073,0.01886989099875791,2.3000989526682942,16.58910304938904,103.35628999999608
quantinuum_h2_56,56,6,100,6,100,run_provenance,False,480,30,17280,17280,17280,0,0,1.0,0.025399633508641273,0.6555470588273306,2.881216927754576,35.084044465998886,5760,0,410,14760,14760,0,0,1.0,0.02444482749706367,0.5942106613517001,2.917423657490868,29.514596109002014
