device_id,study,config_id,optimization_level,layout_method,routing_method,attempts_expected,attempts_observed,success_count,failure_count,timeout_count,success_rate,circuits_expected,circuits_complete,circuits_eligible,transpile_success_n,transpile_min_s,transpile_median_s,transpile_mean_s,transpile_p95_s,transpile_max_s,rank1_count,co_winner_count,top3_count
ibm_falcon_127,baseline,o2_default_default,2,,,30,30,30,0,0,1.0,10,10,10,30,0.009954354999990755,0.04858997549990818,0.5344416822333642,3.1373517907000403,3.3763146750006854,4,4,9
ibm_falcon_127,baseline,o3_default_default,3,,,30,30,27,0,3,0.9,10,10,9,27,0.015202184999907331,0.9795386859996142,2.5928271160740697,10.557111918099961,11.697074807000263,3,5,7
ibm_falcon_127,layout,o2_sabre_sabre,2,sabre,sabre,30,30,30,0,0,1.0,10,10,10,30,0.012009049999960553,0.03247023199992327,0.21254551769998214,0.8669428200002123,1.145765320999999,1,1,6
ibm_falcon_127,layout,o2_dense_sabre,2,dense,sabre,30,30,30,0,0,1.0,10,10,10,30,0.010276373000124295,0.022275026500210515,0.08394582229992315,0.31511088704969514,0.4074278990001403,2,3,3
ibm_falcon_127,layout,o2_trivial_sabre,2,trivial,sabre,30,30,30,0,0,1.0,10,10,10,30,0.007792988999881345,0.018741580500091004,0.06359923316672393,0.22498923805001136,0.2619690740002625,0,0,1
ibm_falcon_127,layout,o3_sabre_sabre,3,sabre,sabre,30,30,30,0,0,1.0,10,10,10,30,0.017668566000338615,1.0990094235003198,2.4147130961000736,8.870309758650041,11.277737940999941,0,0,1
ibm_falcon_127,layout,o3_dense_sabre,3,dense,sabre,30,30,30,0,0,1.0,10,10,10,30,0.015851235999889468,0.07898860600016633,0.31781083593329335,0.954626280249681,1.107314838000093,0,3,3
ibm_falcon_127,layout,o3_trivial_sabre,3,trivial,sabre,30,30,30,0,0,1.0,10,10,10,30,0.012852189000113867,0.8315921520002121,1.5997298321666675,6.924918191049482,7.65958543600027,0,0,0
ibm_falcon_127,routing,o2_sabre_lookahead,2,sabre,lookahead,30,30,15,0,15,0.5,10,10,5,15,0.011154155999975046,10.633877616000063,7.220052262933223,15.505958421499916,16.3634034050001,0,0,0
ibm_falcon_127,routing,o2_sabre_basic,2,sabre,basic,30,30,30,0,0,1.0,10,10,10,30,0.010560214000179258,0.04494161200000235,0.3345442688332393,1.3896167314496322,1.4222477980001713,0,0,0
ibm_falcon_127,routing,o3_sabre_lookahead,3,sabre,lookahead,30,30,9,0,21,0.3,10,10,2,9,0.01972338099994886,0.3376621180004804,8.585469404000074,29.707825299199882,30.255090469999686,0,0,0
ibm_falcon_127,routing,o3_sabre_basic,3,sabre,basic,30,30,30,0,0,1.0,10,10,10,30,0.018312866000087524,1.4063966379999329,2.9477088984667414,13.01324315509997,15.498082135000004,0,0,0
