#{"t_start": 1786308467.9544067, "env_id": "None"}
r,l,t
0.880089,3,1105.132755
0.848314,4,1134.392225
0.995059,3,1136.633573
0.915932,3,1136.746325
0.967373,3,1143.334428
0.913056,3,1151.587253
0.921587,3,1151.736048
0.982887,3,1154.502114
0.927498,3,1154.721566
0.9587,3,1158.394326
0.894466,3,1162.409824
0.947257,3,1168.662684
0.933926,3,1168.784174
0.894653,3,1168.904769
0.960284,3,1176.871848
0.94088,3,1181.352824
0.913056,3,1190.162759
0.991332,3,1192.667122
0.729534,3,1212.819089
0.966937,3,1218.223551
0.996823,3,1218.370374
0.948822,3,1223.066334
0.956113,3,1226.24692
0.962737,3,1229.046117
0.991778,3,1231.71993
0.979059,3,1236.954217
0.975977,3,1239.615374
0.932445,3,1243.163114
0.918714,3,1243.291385
0.9982,3,1245.459815
0.972087,3,1245.607246
0.962737,3,1248.464434
0.907612,3,1248.780451
0.970572,3,1252.010832
0.95039,3,1259.040506
0.975685,3,1262.488345
0.913056,3,1271.325926
0.961727,3,1277.398322
0.918714,3,1277.756061
0.948822,3,1282.16256
0.979059,3,1294.175215
0.991183,3,1298.286222
0.981265,3,1301.702494
0.950533,3,1306.231471
0.755007,3,1316.936656
0.963458,4,1321.709857
0.942152,3,1329.101555
0.993775,3,1329.207189
0.965369,3,1329.312557
0.848314,3,1342.587152
0.972291,3,1343.362625
0.87089,3,1353.737061
0.976124,3,1356.389865
0.97627,3,1360.64247
0.99491,3,1364.403424
0.965777,3,1367.289372
0.97759,3,1372.178548
0.848314,3,1379.609028
0.987916,3,1382.036344
0.979646,3,1385.602592
0.979059,3,1391.292668
0.953677,3,1398.50154
0.966937,3,1401.858583
0.975831,3,1408.898824
0.924552,3,1409.093769
0.933926,3,1409.291539
0.99491,3,1411.491827
0.95039,3,1418.417329
0.921587,3,1418.549338
0.986286,3,1421.056682
0.987916,3,1423.118739
0.960284,3,1432.024324
0.936199,3,1432.138725
0.907863,3,1439.1081
0.974221,3,1442.73667
0.939328,3,1447.873492
0.99491,3,1453.016358
0.986138,3,1455.306293
0.974075,3,1461.592551
0.930594,3,1461.972231
0.965487,3,1467.339781
0.921642,3,1467.518544
0.987768,3,1469.833978
0.952675,3,1475.067793
0.990142,3,1478.678041
0.979059,3,1482.584059
0.950533,3,1486.830889
0.911954,3,1487.066158
0.993686,3,1488.215303
0.942152,3,1493.22017
0.970572,3,1496.381018
0.939611,3,1503.143867
0.97466,3,1507.016685
0.939611,3,1513.729436
0.99297,3,1517.978919
0.89361,3,1518.105621
0.964183,3,1529.865031
0.932445,3,1533.740092
0.927498,3,1533.854932
0.964183,3,1537.443415
0.981323,3,1537.607273
0.936372,3,1542.180861
0.82495,8,1548.654676
0.972176,3,1552.044159
0.939611,3,1559.23271
0.982916,3,1561.441915
0.930767,3,1570.451104
0.965369,3,1572.075852
0.959935,3,1572.22408
0.920702,3,1572.326089
0.982887,3,1576.252688
0.942859,3,1579.10507
0.930488,3,1586.888238
0.987916,3,1591.643195
0.972087,3,1592.413342
