device_id,device_num_qubits,workers,timeout_seconds,compatible_circuits,incompatible_circuits,attempts_planned,attempts_observed,success_count,failure_count,timeout_count,success_rate,transpile_median_s,transpile_mean_s,transpile_p95_s,transpile_max_s,eligible_aggregates,ineligible_aggregates,common_circuits,common_attempts_observed,common_success_count,common_failure_count,common_timeout_count,common_success_rate,common_transpile_median_s,common_transpile_mean_s,common_transpile_p95_s,common_transpile_max_s
ibm_falcon_127,127,2,100.0,10,0,360,360,321,0,39,0.8916666666666667,0.1527560889999222,1.591425284489094,10.198453479000364,30.255090469999686,106,14,6,216,204,0,12,0.9444444444444444,0.03884361449991047,1.9458776994656635,11.275561080699935,30.255090469999686
ibm_falcon_27,27,2,100.0,6,4,216,216,214,0,2,0.9907407407407407,0.01786856549983895,0.8064789210140385,4.123558509500048,28.908322246999887,70,2,6,216,214,0,2,0.9907407407407407,0.01786856549983895,0.8064789210140385,4.123558509500048,28.908322246999887
ibm_heron_133,133,2,100.0,10,0,360,360,320,0,40,0.8888888888888888,0.12643543149988545,2.0837931824062466,10.816041676849919,37.22561993099998,106,14,6,216,206,0,10,0.9537037037037037,0.03848011299965037,2.376675789160179,18.07784324574982,37.22561993099998
ibm_heron_156,156,2,100.0,10,0,360,360,317,0,43,0.8805555555555555,0.11943847699967591,3.2838979592334328,21.690959857800028,87.89748091399997,105,15,6,216,204,0,12,0.9444444444444444,0.043603927499816564,3.430658619681367,20.911021397700008,87.89748091399997
quantinuum_h2_56,56,2,100.0,8,2,288,288,177,0,111,0.6145833333333334,0.03738048400009575,1.1542635363333351,9.573775015000138,20.529384504000063,59,37,6,216,141,0,75,0.6527777777777778,0.03401875399868004,1.3762957417659776,9.869036424000114,20.529384504000063
