#{"t_start": 1788946560.1669784, "env_id": "None"}
r,l,t
0.894388,3,1440.582972
0.926724,3,1446.489065
0.930706,3,1448.760361
0.110035,20,1535.823516
0.906254,3,1538.859871
0.932445,3,1542.072299
0.944756,3,1542.163123
0.88717,4,1542.273815
0.922666,4,1542.38145
0.349408,14,1571.13538
0.0,12,1673.399371
0.99491,3,1675.177051
0.0,1,1735.866446
0.99491,3,1737.825184
0.828546,3,1737.935185
0.988212,3,1738.008719
0.978381,3,1738.083996
0.872485,3,1741.661672
0.951074,3,1741.749973
0.970659,3,1743.969982
0.922334,4,1746.790709
0.967373,3,1749.269922
0.0,3,1839.287234
0.955624,3,1841.831211
0.962737,3,1844.268903
0.974805,3,1844.379857
0.976768,3,1844.456827
0.9287,3,1844.545943
0.996404,3,1846.528591
0.0,1,1907.220784
0.959275,3,1909.83865
0.902914,3,1913.111809
0.987916,3,1915.366682
0.0,4,1977.802883
0.9299,6,1980.81413
0.939747,3,1980.88977
0.887548,10,1993.25325
0.972906,4,1996.240404
0.980058,3,1996.331656
0.944643,3,1996.414576
0.933285,4,1999.327113
0.913221,3,1999.540854
0.961727,3,2002.304859
0.993656,4,2004.439502
0.946262,3,2009.783224
0.0,2,2071.457488
0.778608,3,2077.34444
0.982887,3,2079.462712
0.984659,3,2081.686383
0.300976,7,2146.206372
0.988064,3,2148.723707
0.97759,4,2153.083076
0.948135,3,2153.165516
0.901615,3,2156.76721
0.993715,5,2156.884215
0.917588,4,2160.422366
0.861788,3,2169.680931
0.936512,3,2172.466435
0.771311,3,2189.19988
0.976739,3,2189.272725
0.964848,4,2192.148178
0.894466,3,2192.260527
0.974075,3,2195.653421
0.951243,3,2195.728653
0.848314,7,2213.345896
0.992076,4,2213.440072
0.907862,3,2219.962184
0.984659,3,2222.91734
0.978352,3,2222.99125
0.771496,7,2244.916406
0.952246,3,2250.407569
0.002941,6,2289.669954
0.930068,3,2295.44115
0.982887,3,2297.905529
0.981676,3,2297.97923
0.984511,5,2300.286143
0.7909,5,2300.43841
0.886074,9,2314.354551
0.882471,3,2324.084461
0.954189,4,2324.191763
0.912506,3,2339.468824
0.98451,3,2339.547199
0.987916,3,2341.753638
0.969698,3,2347.393983
0.961727,3,2352.700168
0.903512,4,2356.622041
0.991332,3,2360.771227
0.975331,3,2362.786414
0.939611,3,2366.273198
0.980676,3,2368.364206
0.0,4,2430.963946
0.947257,3,2433.992319
0.969698,3,2437.487431
0.864786,3,2437.576573
0.944444,3,2437.655144
0.0,4,2500.659747
0.94048,5,2500.799109
0.963197,3,2500.880246
0.024079,5,2545.243782
0.830662,6,2545.424595
0.988983,3,2545.502941
0.940593,3,2545.581625
0.946262,3,2548.368415
0.98451,4,2550.32887
0.913022,3,2550.422334
0.811085,3,2558.092455
0.984541,3,2560.352003
0.926724,3,2566.379932
0.984451,3,2566.458731
0.988568,3,2566.5333
0.984659,3,2569.319324
0.873239,4,2569.453071
0.981117,4,2569.551038
0.973344,4,2571.768123
0.942294,3,2577.66964
0.991481,3,2579.907507
0.979528,3,2579.992405
0.940593,3,2580.070465
0.87089,5,2588.969381
0.904733,3,2592.450066
0.941667,3,2592.523851
0.957662,3,2592.610472
0.755075,3,2599.385273
0.916289,3,2599.472013
0.946003,3,2599.554215
0.991332,3,2601.710714
0.966067,3,2604.058241
0.963922,3,2604.226921
0.913903,3,2604.325211
0.993447,3,2604.398577
0.219901,6,2605.863611
0.832284,3,2605.957925
0.930402,3,2606.042218
0.911137,9,2627.334274
0.963689,3,2629.48188
0.99491,3,2631.447079
0.871358,3,2631.550709
0.90202,3,2634.97776
0.937356,3,2638.304801
0.975097,4,2640.557916
0.979499,3,2642.790057
0.962304,3,2645.594839
0.875477,4,2650.20346
0.972176,3,2653.216832
0.0,1,2713.470686
0.793062,3,2719.187467
0.903675,3,2722.930321
0.939611,3,2729.365741
0.989697,3,2731.472183
0.993715,3,2731.54493
0.882471,3,2736.699004
0.939611,3,2739.829044
0.962593,3,2744.612087
0.928031,3,2747.382926
0.968154,3,2747.517553
0.907862,3,2750.979724
0.959275,3,2753.534626
0.939611,3,2756.998127
0.940653,3,2759.515497
0.988568,3,2759.59062
0.958556,3,2764.123817
0.974806,6,2767.770182
0.565957,3,2768.111399
0.97466,3,2771.299961
0.964444,3,2773.894576
0.755709,4,2780.458054
0.024078,8,2824.282446
0.961727,3,2829.673113
0.918166,4,2829.77689
0.961727,4,2832.633945
0.811085,5,2840.132915
0.975331,3,2842.152741
0.936512,7,2847.648037
0.882471,3,2852.882196
0.979059,3,2857.210302
0.945123,3,2857.293518
0.982739,3,2859.571177
0.982739,3,2861.886733
0.788126,7,2870.306098
0.97759,3,2872.629734
0.939465,4,2874.877836
0.981117,3,2874.95298
0.979264,3,2877.096869
0.903512,3,2880.92027
0.929929,3,2886.795071
0.988064,3,2889.26727
0.989697,3,2891.333668
0.936372,3,2897.158619
0.933588,3,2897.244771
0.913056,3,2901.463485
0.793062,3,2907.220503
0.939611,3,2910.624842
0.961727,3,2913.488525
0.0,3,2975.930625
0.841463,4,2980.809062
0.962852,4,2985.72928
0.980852,3,2985.807745
0.0,6,3049.527323
0.882471,5,3055.145942
0.942828,4,3057.853459
0.94535,3,3057.938391
0.844977,3,3058.289595
0.866327,3,3063.097913
0.99491,3,3066.890527
0.771542,3,3067.009408
0.882471,3,3076.78811
0.970106,4,3079.122229
0.895754,3,3079.211404
0.884884,3,3083.102458
0.930961,3,3085.815092
0.917865,3,3092.63605
0.93831,4,3092.782526
0.939465,4,3092.90414
0.848314,3,3099.314747
0.979059,3,3101.681348
0.982739,3,3103.834403
0.989697,3,3106.172707
0.913903,3,3106.283073
0.956541,3,3106.376832
0.940428,3,3109.024163
0.988123,3,3109.103399
0.962593,3,3113.833441
0.973548,3,3113.91391
0.961727,3,3119.272304
0.983477,3,3119.345546
0.916673,3,3119.430883
0.275079,19,3199.409146
0.873901,3,3207.495147
0.956541,4,3207.599936
0.898128,3,3207.691351
0.978294,3,3209.718988
0.949787,3,3209.800471
0.984244,3,3209.878431
0.882471,3,3214.82131
0.979059,3,3216.985659
0.92353,3,3220.176502
0.961727,3,3222.968905
0.771771,5,3237.254077
0.002921,23,3255.608872
0.951074,4,3255.711215
0.96653,3,3257.968796
0.979852,3,3259.960634
0.942859,3,3265.363577
0.931045,3,3273.493326
0.913056,3,3277.222747
0.981676,3,3279.202467
0.975273,4,3279.308904
0.946262,3,3282.102213
0.942859,3,3284.819455
0.910864,3,3296.831749
0.91322,3,3300.203804
0.884849,5,3300.345536
0.981323,4,3300.444636
0.945663,7,3303.457682
0.971008,4,3305.923343
0.986286,3,3310.134555
0.9608,4,3310.230607
0.952703,4,3312.851351
0.936705,3,3312.931786
0.969756,4,3313.032595
0.972614,3,3315.246464
0.888894,3,3315.331958
0.023746,8,3360.611262
0.979499,3,3364.959786
0.910152,3,3365.048065
0.948021,3,3365.136523
0.993268,3,3369.438272
0.957173,5,3369.558111
0.943001,3,3372.229766
0.854488,3,3372.324851
0.866483,4,3376.566293
0.903512,3,3380.434038
0.812108,5,3386.793732
0.991987,3,3386.868013
0.904733,3,3390.150305
0.630902,8,3429.029149
0.993686,3,3429.109716
0.844247,11,3446.569242
0.967373,3,3449.127858
0.017994,9,3504.048804
0.94212,3,3504.141985
0.987916,4,3506.252639
0.925138,4,3509.046358
0.932613,3,3512.026935
0.925138,3,3514.852011
0.939611,3,3521.24113
0.952129,4,3521.394525
0.949392,4,3524.184723
0.973227,3,3526.557097
0.913056,3,3530.831351
0.987916,3,3535.167857
0.952246,4,3540.914636
0.939611,3,3543.983931
0.941667,4,3544.075938
0.0,4,3627.75236
0.942859,3,3633.231782
0.945123,4,3633.328896
0.828546,3,3633.429573
0.813399,3,3645.225217
0.863489,3,3649.550144
0.956113,3,3652.211852
0.945209,4,4015.657845
0.939611,3,4018.737731
0.975331,4,4020.90063
0.939611,3,4024.029041
0.908105,4,4027.504115
0.969085,3,4027.589381
0.0,5,4088.987465
0.951872,3,4089.080932
0.910152,3,4089.16399
0.911134,4,4092.101753
0.93387,3,4092.212573
0.986226,3,4092.299006
0.903512,3,4096.229855
0.936372,3,4099.058197
0.892884,4,4108.722035
0.942176,3,4108.806001
0.982887,4,4113.33828
0.920347,3,4116.50518
0.979353,3,4120.861509
0.996404,3,4122.735703
0.996823,3,4122.806217
0.972174,4,4122.909153
0.922699,3,4129.778734
0.972262,3,4129.855123
0.967922,3,4129.93097
0.940282,3,4130.110765
0.99491,3,4133.89802
0.848314,3,4145.784523
0.944669,3,4148.363046
0.933145,3,4151.369867
0.946003,4,4154.146739
0.982739,3,4156.306976
0.922473,3,4156.391228
0.917865,3,4163.191303
0.975273,4,4163.292697
0.962737,3,4165.680211
0.981264,4,4167.946661
0.911298,3,4168.162499
0.95988,3,4170.469249
0.992076,3,4170.55187
0.811085,3,4178.177134
0.963922,3,4178.253098
0.927559,3,4184.909228
0.984451,3,4184.992063
0.996404,3,4186.901702
0.967373,4,4191.78516
0.943906,3,4194.413943
0.965369,3,4194.493903
0.933957,3,4197.183656
0.811085,3,4204.809925
0.973227,3,4206.995887
0.0,4,4269.537045
0.97759,3,4274.084584
0.966414,3,4276.387857
0.895137,3,4276.47377
0.882471,3,4286.089782
0.0,9,4371.408891
0.894251,3,4375.112779
0.9225,4,4375.218198
0.959243,3,4375.346844
0.932445,3,4381.599592
0.0,7,4448.418336
0.923112,3,4448.515262
0.99297,3,4450.537466
0.972614,3,4452.90786
0.977794,3,4452.985024
0.890126,3,4453.096625
0.882471,3,4458.084752
0.917366,3,4461.132811
0.947257,3,4466.660578
0.976855,3,4466.802042
0.974075,4,4469.984151
0.99491,3,4471.855753
0.953391,3,4474.932117
0.978089,4,4477.466358
0.947311,3,4477.549054
0.018252,5,4478.346446
0.878132,3,4478.458714
0.908435,3,4481.900765
0.989548,4,4484.0036
0.960223,4,4484.109278
0.99491,3,4485.965296
0.926447,3,4491.901502
0.864786,3,4492.139129
0.991778,3,4494.544563
0.989697,3,4496.677617
0.874161,4,4496.806442
0.932724,5,4507.727119
0.953733,3,4510.244955
0.877496,3,4510.354807
0.96375,3,4517.901481
0.982887,3,4522.130347
0.904733,5,4532.195369
0.898128,3,4532.288124
0.0,1,4592.631681
0.909497,7,4623.903068
0.910148,3,4623.986638
0.819129,3,4628.924098
0.936372,3,4631.887772
0.968709,3,4632.022901
0.979353,3,4634.188073
0.912506,3,4649.684004
0.961727,3,4652.262752
0.960916,3,4654.49461
0.913056,4,4658.598463
0.729534,3,4678.179787
0.996823,3,4678.250714
0.920347,4,4684.392996
0.925194,3,4687.338619
0.884642,3,4687.43085
0.863489,3,4691.923892
0.0,10,4808.616551
0.991481,3,4810.774276
0.972468,3,4813.229214
0.990142,4,4817.824454
0.97466,5,4823.115324
0.0,5,4883.490681
0.857114,3,4883.594609
0.949392,3,4888.863276
0.984659,3,4893.559459
0.963689,3,4893.685577
0.926166,3,4893.781963
0.988064,3,4898.266531
0.972468,3,4900.619219
0.904733,3,4907.341083
0.986107,3,4907.415983
0.947257,3,4912.967795
0.988924,3,4913.043497
0.813399,3,4924.943836
0.969872,4,4927.412817
0.903512,3,4931.268464
0.957173,3,4931.400065
0.97627,3,4936.510665
0.979353,3,4938.64059
0.880191,3,4938.770887
0.954246,3,4938.899339
0.961727,5,4946.826076
0.944586,3,4946.963765
0.979646,5,4949.908572
0.93328,3,4949.98846
0.848314,3,4956.196574
0.811085,3,4970.067715
0.984392,5,4970.187623
0.947427,3,4972.749875
0.979852,4,4974.866483
0.917865,3,4981.682171
0.917175,3,4984.973972
0.972349,3,4985.054825
0.0,4,5046.63024
0.979059,3,5048.827185
0.993686,4,5048.926865
0.933145,3,5051.950509
0.930068,3,5054.95846
0.813399,3,5061.125426
0.957262,3,5066.213492
0.902669,3,5066.347962
0.917313,3,5069.598423
0.811085,3,5075.793997
0.848518,3,5076.037526
0.993119,3,5077.995738
0.995298,3,5078.069564
0.929929,4,5081.145807
0.972322,3,5083.800659
0.976124,3,5086.05955
0.977444,3,5091.270116
0.987945,3,5093.402138
0.974075,3,5096.512616
0.018028,9,5236.28071
0.97346,3,5236.358243
0.913056,3,5244.225571
0.922473,4,5244.461699
0.922699,3,5251.281837
0.984659,4,5256.079445
0.949534,3,5261.262656
0.0,1,5321.521485
0.962737,3,5323.949837
0.0,4,5392.534892
0.913056,3,5400.417156
0.988983,3,5400.494006
0.976855,3,5400.570877
0.953391,3,5403.642612
0.99491,3,5405.497042
0.937525,3,5408.348909
0.992076,4,5410.704146
0.90324,10,5451.039346
0.976124,3,5453.348387
0.907394,4,5453.467824
0.966354,3,5455.7211
0.942859,3,5458.378538
0.921477,3,5461.529885
0.980029,3,5461.605609
0.921591,3,5464.458562
0.972643,3,5466.668698
0.952675,3,5471.67054
0.884106,3,5471.767551
0.961958,4,5477.11488
0.927081,4,5477.586766
0.981265,3,5480.415403
0.0,3,5595.815567
0.97627,3,5600.830131
0.947367,3,5600.908323
0.974805,3,5600.985362
0.988064,3,5603.322263
0.925583,3,5603.402772
0.982916,3,5605.54626
0.0,13,5716.364484
0.965369,3,5716.550484
0.932445,3,5719.786925
