#{"t_start": 1789722977.9315124, "env_id": "None"}
r,l,t
0.919866,4,2047.110076
0.93584,3,2052.743702
0.983985,3,2057.040046
0.835822,4,2064.80556
0.731092,7,2078.352698
0.977776,3,2080.735584
0.86705,3,2084.288604
0.989498,3,2086.379018
0.262275,4,2093.602063
0.55308,3,2101.54262
0.884057,6,2101.715078
0.751081,3,2107.940105
0.937651,3,2111.048785
0.905497,3,2114.278244
0.659911,4,2134.886337
0.0,4,2182.78401
0.693524,3,2191.627577
0.838837,4,2194.465732
0.967377,3,2196.653591
0.960524,3,2199.191567
0.733279,5,2199.324929
0.916265,3,2199.408765
0.955042,3,2201.918168
0.86705,3,2205.528647
0.828068,4,2213.443109
0.846703,4,2216.147639
0.0,2,2276.506413
0.786048,4,2279.597812
0.935672,3,2282.517149
0.890336,4,2282.630677
0.781638,3,2289.104332
0.809935,3,2295.580086
0.620275,4,2322.406816
0.0,2,2382.767395
0.998849,3,2384.746315
0.0,4,2386.160305
0.998849,3,2388.065451
0.787139,3,2393.361973
0.998849,3,2397.441661
0.9381,3,2400.129397
0.522634,6,2414.742319
0.897055,5,2419.084639
0.92261,3,2424.455199
0.747074,3,2430.747533
0.949436,3,2433.391415
0.0,4,2434.04841
0.924352,5,2440.653007
0.796656,3,2448.44269
0.949492,3,2452.960291
0.960711,4,2455.236876
0.774733,5,2464.202469
0.998395,3,2467.999324
0.0,3,2529.649755
0.889421,3,2535.43317
0.641302,4,2535.55267
0.990233,3,2537.703053
0.0,14,2552.226454
0.930408,3,2555.214741
0.80443,4,2561.256943
0.692414,5,2575.051192
0.928979,4,2578.33835
0.955542,3,2580.740275
0.864588,3,2584.592977
0.913425,3,2587.61862
0.809099,3,2593.966331
0.909837,3,2597.267387
0.248592,4,2604.722162
0.908499,3,2608.432953
0.847644,3,2614.985336
0.0,2,2675.298007
0.673907,3,2681.258795
0.967377,3,2683.561214
0.880942,3,2687.916476
0.0,1,2748.559861
0.937651,3,2751.822162
0.977351,3,2756.421236
0.851728,4,2761.162843
0.672149,4,2768.637316
0.996036,3,2772.618109
0.723289,4,2778.695246
0.840928,3,2782.807102
0.831522,3,2786.609469
0.343402,3,2808.52933
0.959119,3,2811.204561
0.909837,3,2814.516871
0.858827,3,2818.167381
0.942637,3,2821.156834
0.876045,4,2825.524951
0.471598,4,2825.683236
0.998849,3,2827.51194
0.771325,5,2835.61215
0.880942,3,2839.897235
0.943202,4,2845.624252
0.28512,4,2868.101271
0.956883,3,2868.180947
0.0,2,2929.160174
0.812,4,2932.353055
0.864588,3,2936.260345
0.964298,3,2938.805134
0.962515,4,2941.146101
0.334089,5,2945.796354
0.627364,4,2964.80301
0.693524,3,2973.337934
0.923672,3,2978.873959
0.69242,4,2991.776903
0.968238,3,2994.197052
0.507974,3,2994.362699
0.990233,3,2996.388475
0.880217,3,3003.466296
0.909837,3,3006.952628
0.879474,3,3010.253235
0.978021,3,3012.544062
0.914455,3,3017.666118
0.880935,3,3022.140242
0.955542,3,3024.518466
0.0,5,3036.586915
0.944689,3,3036.663686
0.905245,4,3045.102978
0.521869,3,3060.175216
0.825955,3,3063.955047
0.0,2,3124.328997
0.824882,3,3130.202838
0.898339,4,3134.688226
0.0,4,3182.56455
0.45148,5,3182.919748
0.990233,3,3184.997393
0.824882,3,3190.531838
0.87322,3,3196.812997
0.968238,3,3199.068994
0.776501,4,3202.097999
0.45148,5,3202.435791
0.953883,3,3204.962321
0.828068,4,3212.826614
0.967377,3,3214.981438
0.989498,3,3216.942759
0.880942,3,3221.393375
0.840928,3,3225.507849
0.960524,3,3227.966264
0.949492,3,3232.746742
0.947996,3,3235.328811
0.967335,3,3238.004244
0.978819,3,3242.517005
0.824882,3,3248.096672
0.843377,3,3248.19477
0.708076,3,3257.318909
0.917864,4,3260.398491
0.942637,3,3263.292932
0.356196,5,3281.432556
0.777597,4,3289.792454
0.880935,3,3294.185142
0.977776,3,3296.584183
0.923672,3,3301.942899
0.909837,3,3305.276554
0.810899,4,3308.120749
0.998249,3,3311.961802
0.727377,4,3321.075787
0.445681,5,3321.582568
0.930408,3,3324.573354
0.691876,4,3337.628635
0.934518,3,3343.099802
0.998249,3,3347.133016
0.831226,3,3351.281835
0.876037,3,3354.77306
0.940319,3,3357.593036
0.944034,4,3363.810222
0.575,4,3388.925853
0.957191,3,3391.411035
0.930442,3,3391.482297
0.845366,3,3395.189813
0.964161,3,3397.970698
0.0,2,3458.338079
0.343402,3,3481.615481
0.879474,3,3484.989323
0.880935,3,3489.552122
0.956731,3,3492.265618
0.998849,3,3496.219671
0.690572,3,3505.185273
0.8645,3,3510.022224
0.881833,4,3516.116996
0.828068,6,3523.848029
0.952918,3,3526.622114
0.833427,5,3532.60433
0.889421,3,3538.220708
0.8645,3,3543.072169
0.83796,4,3543.177065
0.989498,3,3545.236527
0.882371,3,3549.627998
0.945268,4,3556.520056
0.750651,4,3565.32369
0.933955,4,3568.509936
0.923672,3,3574.017852
0.356196,6,3600.016145
0.0,6,3753.643933
0.909837,3,3757.030871
0.809935,3,3763.328876
0.930441,3,3766.650043
0.452359,5,3767.00813
0.914455,3,3771.996025
0.831457,4,3776.596718
0.693524,3,3785.554492
0.960524,3,3787.954268
0.838379,3,3794.664141
0.968238,3,3796.943835
0.988434,3,3799.137795
0.673907,3,3805.07891
0.977351,3,3807.30479
0.857143,4,3809.917783
0.960524,3,3812.501439
0.974108,3,3815.213793
0.879474,3,3818.733081
0.829884,4,3826.488909
0.937651,3,3829.841034
0.980808,3,3834.588609
0.839618,4,3842.29586
0.835822,4,3850.107983
0.809099,3,3856.434689
0.343402,3,3878.697936
0.880935,3,3883.194328
0.926421,3,3889.359116
0.0,2,3950.649275
0.464123,6,3966.744031
0.885789,3,3970.805258
0.974108,3,3973.34884
0.0,5,3985.437985
0.71366,3,3994.543301
0.940667,3,3997.587803
0.869706,4,3997.706302
0.902931,4,4005.982299
0.831226,3,4010.080739
0.998849,3,4011.99957
0.336315,3,4039.060368
0.693524,3,4048.193922
0.92261,3,4053.730667
0.693524,3,4062.487294
0.858827,3,4066.083637
0.791043,4,4074.607113
0.909175,3,4077.859386
0.935672,3,4080.710974
0.516284,4,4085.87351
0.859427,4,4088.424962
0.521869,3,4103.532575
0.960524,3,4105.957897
0.968238,3,4108.179652
0.977746,3,4111.974287
0.810087,4,4114.946827
0.864588,3,4119.029172
0.876907,4,4121.700081
0.993283,3,4121.778278
0.874132,4,4128.656653
0.948396,4,4128.765471
0.909837,3,4134.458289
0.985872,3,4136.632164
0.84594,3,4145.920813
0.0,1,4206.530105
0.74036,4,4209.968634
0.864588,3,4213.92114
0.871284,3,4217.374156
0.978819,3,4219.633913
0.90072,4,4227.493495
0.984762,3,4229.740754
0.693524,3,4238.761272
0.960524,3,4241.359205
0.846703,4,4244.161316
0.909837,3,4247.693147
0.673907,3,4253.699789
0.0,51,4258.331501
0.608904,3,4265.202333
0.905676,4,4267.657705
0.907521,3,4272.89167
0.960524,3,4275.397197
0.759555,3,4282.122432
0.735869,4,4297.872331
0.789179,3,4306.584253
0.964298,3,4309.178648
0.919906,3,4311.953071
0.87322,3,4318.253766
0.879047,4,4322.767729
0.656006,4,4343.613479
0.905497,3,4346.964942
0.884146,5,4354.761435
0.966034,3,4357.229266
0.8645,3,4362.279203
0.926722,4,4368.412127
0.987857,3,4372.81366
0.934365,3,4376.176248
0.892616,4,4382.786682
0.869617,4,4390.017635
0.983361,3,4393.832447
0.914455,3,4398.726886
0.538379,3,4409.674528
0.0,5,4410.210854
0.957191,3,4412.702416
0.761892,6,4416.371177
0.889256,4,4416.49142
0.990795,3,4418.809937
0.878852,4,4425.6496
0.831076,3,4429.532688
0.513783,9,4444.498774
0.831226,3,4448.43186
0.879474,3,4451.727112
0.45148,7,4453.177866
0.982102,3,4453.246926
0.754836,8,4457.189168
0.0,6,4520.968839
0.996036,3,4523.040056
0.695149,4,4526.837212
0.943712,3,4529.547128
