#{"t_start": 1789501611.0506365, "env_id": "None"}
r,l,t
0.847945,15,7408.039112
0.80521,8,7408.375812
0.937114,11,7408.751004
0.487414,15,7431.740812
0.346618,17,7478.56206
0.829074,29,7510.21679
0.998249,24,7515.999322
0.923127,20,7519.488831
0.921083,20,7529.557449
0.983985,27,7550.783567
0.634187,17,7579.549775
0.787463,34,7585.984946
0.975888,10,7590.870357
0.716332,18,7608.016439
0.989594,9,7610.449145
0.292452,7,7618.427445
0.556776,33,7629.844897
0.762249,12,7648.609859
0.792509,10,7662.199728
0.918441,10,7666.102492
0.778571,20,7677.223795
0.686725,42,7714.503131
0.0,7,7775.58838
0.640044,33,7809.661008
0.789157,16,7818.567294
0.951466,15,7821.070195
0.961586,15,7838.219941
0.73013,18,7847.73587
0.832601,15,7856.362639
0.957466,7,7859.140918
0.71444,29,7887.430841
0.630045,5,7900.735108
0.595947,3,7907.715499
0.0,2,7998.394001
0.515391,37,8025.159504
0.887472,6,8025.355412
0.748006,4,8030.611351
0.663011,6,8031.099056
0.789179,7,8037.620923
4.4e-05,23,8173.508584
0.0,21,8433.762627
0.998849,8,8436.192098
0.0,9,8498.475036
0.994571,5,8505.528328
0.406104,23,8548.141659
0.990781,18,8552.65187
0.933128,26,8557.001121
0.366696,19,8621.14851
0.779008,8,8621.436112
0.86814,7,8628.993251
0.804853,7,8635.437414
0.977971,3,8637.989472
0.0,9,8751.133814
0.842875,14,8764.88672
0.727203,13,8773.142109
0.950636,6,8773.305258
0.955945,28,8779.171981
0.64527,24,8782.980892
0.998381,11,8791.905193
0.0,3,8854.144813
0.89638,15,8856.933829
0.432681,14,8866.200877
0.981347,4,8868.458241
0.0,17,9082.361056
0.931733,16,9090.971411
0.801153,7,9097.981278
0.660035,15,9124.938559
0.538572,10,9136.86684
0.959154,13,9139.600778
0.844275,15,9142.865622
0.758432,12,9151.260172
0.651153,10,9159.594592
0.906461,33,9169.780476
0.254036,18,9170.564235
0.844528,7,9173.98029
0.840644,15,9194.4106
0.0,15,9200.746806
0.614647,14,9206.342176
0.956429,31,9217.944499
0.806967,8,9227.911411
0.0,2,9289.059903
0.901364,41,9308.6198
0.978457,8,9311.245829
0.83496,8,9319.988079
0.715899,23,9328.442584
0.996685,18,9335.271494
0.741203,28,9363.971927
0.749412,15,9376.114451
0.847211,9,9380.929732
0.328209,20,9392.128519
0.950056,8,9395.158298
0.896583,13,9398.011033
0.765414,31,9420.711941
0.939797,7,9424.293197
0.792429,17,9429.708785
0.519032,25,9460.858377
0.998849,18,9469.279903
0.642479,12,9492.005313
0.84925,15,9512.568358
0.941185,8,9514.962276
0.376208,12,9555.960819
0.881173,15,9562.270539
0.0,4,9623.166898
0.658569,14,9623.66711
0.943734,6,9630.034705
0.969708,40,9640.597764
0.973108,28,9662.748939
0.343402,11,9688.416442
2.5e-05,25,9734.745737
0.706902,5,9750.103082
0.880427,13,9757.676768
0.0,5,9834.527729
0.953805,13,9840.541567
0.0,12,9910.268257
0.981347,4,9912.696978
